#{"t_start": 1764679826.621898, "env_id": "None"}
r,l,t
-24.584101,12,120.319312
4.535241,23,120.563912
-38.885713,6,120.71885
-38.371931,6,120.885235
-40.836972,5,120.993596
-30.284067,10,121.193655
-20.60414,13,121.315274
-37.138004,7,121.491883
-24.848386,11,121.713449
-26.525028,11,121.870732
-31.560353,9,122.000662
-19.067545,15,122.276382
-20.641461,14,122.668326
-38.748475,6,122.848444
-28.320757,10,123.054345
-4.589396,19,123.258541
6.302805,25,123.658436
16.963844,32,123.864635
-29.550625,10,124.027098
-40.696664,5,124.154495
-22.70831,14,124.466497
-36.235064,8,124.641883
-29.291494,10,124.786929
10.154222,24,125.111774
-19.84404,14,125.270035
-38.741318,6,125.432596
-31.571261,10,125.573523
-15.137518,15,125.83928
-23.154211,12,125.994859
-25.324072,12,126.217328
64.024684,43,126.750091
-13.091705,16,126.978256
-34.111414,8,127.11129
-3.193017,20,127.400684
-26.947444,11,127.525975
-40.910517,5,127.691263
-15.484111,15,127.830293
-38.749157,6,127.979941
-20.796541,15,128.175731
-31.719349,9,128.308835
32.391327,34,128.648352
-43.211103,4,128.780389
-33.297567,9,128.9567
-21.716402,15,129.156902
-24.21931,12,129.31751
-24.008996,12,129.494084
-33.561006,8,129.677155
-37.204167,7,129.818074
10.5914,25,130.119426
-35.258334,8,130.313576
38.667877,37,130.653275
-31.106115,10,130.834675
9.269545,23,131.086692
-3.383941,19,131.401044
-10.417519,19,131.603932
-37.755788,6,131.749968
19.705821,30,132.198107
-5.992103,21,132.379314
-10.431109,20,132.545029
-19.384152,14,132.777202
-37.018044,7,132.936092
-39.040389,6,133.049383
-35.067834,8,133.215888
90.194109,50,133.822892
-20.509838,13,134.083246
-35.209521,7,134.21148
-26.750431,10,134.36854
-23.442191,12,134.549905
-9.488969,16,134.844296
-27.042043,12,134.994495
-23.681519,12,135.236166
-20.282297,15,135.438595
-27.760934,11,135.610684
-9.505679,18,135.808732
-16.601339,15,136.054244
-33.278261,8,136.228546
-28.995331,11,136.441395
-37.123271,7,136.540181
25.539126,33,136.763203
-25.71793,12,136.904528
-5.742732,18,137.082146
-13.630287,17,137.2939
-38.407216,6,137.455249
-9.903326,17,137.630917
4.853746,24,137.986913
-3.462442,18,138.30006
-11.437984,17,138.475135
-22.203191,12,138.63065
-25.445065,12,138.828923
-31.456795,9,138.971984
-31.142476,10,139.166736
-17.630485,16,139.430935
-22.841785,13,139.690272
-10.701587,17,139.964425
9.378577,27,140.313832
-38.585565,6,140.413373
-36.862514,7,140.603761
-31.027335,9,140.737584
0.142104,20,140.977941
-35.30954,7,141.107755
-5.40152,19,141.318372
29.7885,32,141.786066
-23.223061,13,142.02677
-38.923231,6,142.217188
-9.806258,18,142.538129
-40.591045,5,142.702644
-8.010476,19,142.892474
24.425956,30,143.2866
-28.620642,10,143.431025
-30.162487,11,143.638716
-18.951613,16,143.860568
-25.950994,11,144.04684
1.597531,22,144.327858
-33.45076,8,144.497812
-34.739149,8,144.6731
-32.538404,9,144.812541
-7.739335,16,145.060485
-32.206924,9,145.239078
-21.835057,14,145.41832
-4.918619,22,145.5941
-41.414556,5,145.762879
-34.805577,8,145.933555
-31.967159,10,146.08712
-35.879127,8,146.204249
-36.794948,7,146.392171
-4.250611,18,146.554173
-20.648196,14,146.766104
-21.719279,12,146.910291
37.26521,29,147.156962
-28.535562,11,147.278955
-28.160666,11,147.441735
-13.611525,16,147.662299
-43.57137,4,147.823712
-14.283814,15,148.098098
1.462609,21,148.400229
-33.357132,9,148.579462
-32.520342,9,148.727039
-13.070633,16,151.362574
-42.975415,4,151.475625
-29.542671,11,151.622868
-40.751346,5,151.763686
-39.015493,6,151.917731
-19.707041,12,152.166112
-26.420281,12,152.298383
-32.686606,9,152.492275
1.598672,19,152.731487
-30.987531,9,152.890731
0.592742,22,153.112312
14.131153,25,153.390518
29.164648,32,153.810764
3.152564,23,154.061518
-7.744611,17,154.245835
-31.524091,10,154.502269
-32.591368,8,154.668495
-19.55587,13,154.945492
-39.474119,6,155.319967
-36.994076,7,155.474212
-30.82988,9,155.650267
-39.88134,5,155.798278
2.281166,21,156.146876
-24.130917,12,156.392806
-34.151198,8,156.523462
-27.20384,12,156.684499
-33.368274,9,156.806283
-24.912561,11,156.99431
-24.44578,10,157.17525
-0.775651,20,157.429367
-39.864949,6,157.568233
-4.110561,19,157.902757
-19.805301,13,158.158978
-23.181235,13,158.366918
-22.621176,13,158.522452
-30.314559,10,158.707148
-30.018893,10,158.849265
-38.734346,6,158.995082
-27.773284,12,159.189102
-32.005059,10,159.337908
-7.106659,18,159.645758
-20.858669,13,159.84022
59.752617,35,160.269223
-34.743315,8,160.448305
-36.010459,7,160.57571
-28.902637,11,160.810551
-31.520675,10,160.940061
